Vardas Pavardė ND1 ND2 ND3 ND4 ND5 Egzaminas
Vardas1 Pavardė1 3 4 6 6 7 8
Vardas2 Pavardė2 3 4 5 8 10 8
Vardas3 Pavardė3 5 6 8 8 10 5
Vardas4 Pavardė4 3 4 9 9 10 9
Vardas5 Pavardė5 4 6 6 7 9 4
Vardas6 Pavardė6 2 5 8 9 10 4
Vardas7 Pavardė7 3 5 5 8 9 3
Vardas8 Pavardė8 6 6 7 8 8 7
Vardas9 Pavardė9 3 4 5 8 10 8
Vardas10 Pavardė10 2 3 4 6 9 2
Vardas11 Pavardė11 5 7 8 9 10 9
Vardas12 Pavardė12 5 6 7 7 8 3
Vardas13 Pavardė13 2 6 6 7 8 7
Vardas14 Pavardė14 3 3 3 6 9 2
Vardas15 Pavardė15 3 7 8 9 10 8
Vardas16 Pavardė16 3 5 5 7 8 8
Vardas17 Pavardė17 3 5 7 9 10 2
Vardas18 Pavardė18 2 3 8 9 9 2
Vardas19 Pavardė19 2 5 7 8 9 3
Vardas20 Pavardė20 4 6 7 8 10 3
Vardas21 Pavardė21 2 2 3 6 9 2
Vardas22 Pavardė22 2 2 3 10 10 6
Vardas23 Pavardė23 3 3 4 5 6 4
Vardas24 Pavardė24 2 2 6 7 10 5
Vardas25 Pavardė25 3 4 8 8 10 2
Vardas26 Pavardė26 4 5 5 7 9 9
Vardas27 Pavardė27 3 6 7 8 8 9
Vardas28 Pavardė28 2 3 4 6 9 9
Vardas29 Pavardė29 2 5 6 8 9 10
Vardas30 Pavardė30 2 2 6 6 8 7
Vardas31 Pavardė31 3 5 8 9 10 6
Vardas32 Pavardė32 3 5 5 7 10 7
Vardas33 Pavardė33 3 5 9 9 9 4
Vardas34 Pavardė34 3 4 6 8 9 6
Vardas35 Pavardė35 5 6 8 8 9 5
Vardas36 Pavardė36 2 3 5 6 10 4
Vardas37 Pavardė37 3 5 8 9 10 9
Vardas38 Pavardė38 3 4 6 9 10 2
Vardas39 Pavardė39 3 3 4 9 10 9
Vardas40 Pavardė40 2 3 5 6 8 9
Vardas41 Pavardė41 2 8 9 10 10 10
Vardas42 Pavardė42 5 7 7 8 9 6
Vardas43 Pavardė43 2 3 6 9 9 10
Vardas44 Pavardė44 3 3 6 7 9 10
Vardas45 Pavardė45 2 5 7 8 10 9
Vardas46 Pavardė46 3 4 4 6 9 10
Vardas47 Pavardė47 5 5 6 6 10 4
Vardas48 Pavardė48 2 3 4 6 7 8
Vardas49 Pavardė49 2 3 5 5 10 4
Vardas50 Pavardė50 2 6 8 9 9 7
Vardas51 Pavardė51 2 3 7 9 10 7
Vardas52 Pavardė52 2 3 8 8 9 2
Vardas53 Pavardė53 2 6 6 8 9 9
Vardas54 Pavardė54 3 4 5 5 8 10
Vardas55 Pavardė55 2 2 4 7 8 10
Vardas56 Pavardė56 3 6 7 9 10 3
Vardas57 Pavardė57 2 3 5 6 7 5
Vardas58 Pavardė58 3 3 5 6 10 3
Vardas59 Pavardė59 4 4 6 6 9 10
Vardas60 Pavardė60 3 5 5 8 9 3
Vardas61 Pavardė61 2 5 7 9 10 2
Vardas62 Pavardė62 4 6 6 7 8 5
Vardas63 Pavardė63 2 3 6 10 10 8
Vardas64 Pavardė64 2 4 5 9 9 2
Vardas65 Pavardė65 2 4 6 9 10 8
Vardas66 Pavardė66 5 5 6 7 10 4
Vardas67 Pavardė67 3 7 8 8 9 6
Vardas68 Pavardė68 2 6 6 7 9 5
Vardas69 Pavardė69 2 5 6 8 9 6
Vardas70 Pavardė70 4 4 7 8 10 9
Vardas71 Pavardė71 2 4 4 8 8 3
Vardas72 Pavardė72 2 5 7 8 9 3
Vardas73 Pavardė73 3 4 8 8 8 2
Vardas74 Pavardė74 3 4 6 10 10 4
Vardas75 Pavardė75 3 5 6 8 10 2
Vardas76 Pavardė76 2 3 5 7 10 10
Vardas77 Pavardė77 4 4 8 9 9 9
Vardas78 Pavardė78 2 5 5 5 7 10
Vardas79 Pavardė79 2 2 3 4 10 8
Vardas80 Pavardė80 6 9 9 10 10 6
Vardas81 Pavardė81 5 6 7 7 7 8
Vardas82 Pavardė82 6 8 8 10 10 9
Vardas83 Pavardė83 3 4 5 5 5 5
Vardas84 Pavardė84 2 5 6 6 9 6
Vardas85 Pavardė85 3 7 7 8 10 3
Vardas86 Pavardė86 2 2 3 4 9 7
Vardas87 Pavardė87 2 4 6 7 9 4
Vardas88 Pavardė88 2 6 8 8 10 7
Vardas89 Pavardė89 3 4 5 6 8 3
Vardas90 Pavardė90 3 5 6 6 8 2
Vardas91 Pavardė91 2 2 3 5 10 3
Vardas92 Pavardė92 2 2 4 7 10 4
Vardas93 Pavardė93 5 8 9 9 10 9
Vardas94 Pavardė94 5 6 6 6 6 10
Vardas95 Pavardė95 4 8 8 9 10 10
Vardas96 Pavardė96 2 7 9 9 10 5
Vardas97 Pavardė97 3 6 7 10 10 3
Vardas98 Pavardė98 2 3 6 9 9 5
Vardas99 Pavardė99 4 4 6 9 10 8
Vardas100 Pavardė100 3 7 8 8 10 2
Vardas101 Pavardė101 4 5 5 7 9 3
Vardas102 Pavardė102 2 4 7 8 8 2
Vardas103 Pavardė103 2 2 6 7 9 10
Vardas104 Pavardė104 2 2 6 8 9 4
Vardas105 Pavardė105 2 2 4 7 10 7
Vardas106 Pavardė106 2 2 3 3 5 2
Vardas107 Pavardė107 2 6 8 9 9 2
Vardas108 Pavardė108 7 8 8 9 10 4
Vardas109 Pavardė109 2 2 5 8 8 10
Vardas110 Pavardė110 4 5 5 8 10 2
Vardas111 Pavardė111 2 6 6 8 10 2
Vardas112 Pavardė112 7 8 8 10 10 10
Vardas113 Pavardė113 4 5 5 7 10 2
Vardas114 Pavardė114 2 7 7 7 8 9
Vardas115 Pavardė115 3 5 6 8 10 5
Vardas116 Pavardė116 4 6 7 8 9 7
Vardas117 Pavardė117 2 2 3 8 9 2
