Vardas Pavardė ND1 ND2 ND3 ND4 ND5 Egzaminas
Vardas102 Pavardė102 4 6 8 9 9 7
Vardas103 Pavardė103 2 2 3 4 9 7
Vardas104 Pavardė104 4 6 6 7 10 9
Vardas105 Pavardė105 3 4 5 8 10 9
Vardas107 Pavardė107 5 6 8 9 9 4
Vardas11 Pavardė11 2 2 2 6 8 7
Vardas111 Pavardė111 5 6 9 9 10 6
Vardas112 Pavardė112 3 6 8 8 9 9
Vardas113 Pavardė113 2 4 5 8 9 7
Vardas114 Pavardė114 3 6 6 6 10 8
Vardas115 Pavardė115 2 3 5 8 8 10
Vardas116 Pavardė116 2 4 4 6 10 5
Vardas119 Pavardė119 3 4 5 7 9 5
Vardas12 Pavardė12 2 6 8 8 10 10
Vardas120 Pavardė120 4 5 6 6 10 5
Vardas123 Pavardė123 2 5 9 10 10 8
Vardas124 Pavardė124 2 7 8 9 9 6
Vardas126 Pavardė126 3 6 7 8 8 7
Vardas128 Pavardė128 6 6 7 7 7 8
Vardas13 Pavardė13 5 8 9 9 10 10
Vardas130 Pavardė130 2 3 6 10 10 9
Vardas131 Pavardė131 3 4 6 10 10 7
Vardas132 Pavardė132 3 4 4 4 7 9
Vardas135 Pavardė135 3 4 8 8 10 6
Vardas136 Pavardė136 3 4 6 7 9 9
Vardas137 Pavardė137 2 6 6 7 9 5
Vardas139 Pavardė139 2 5 5 6 9 8
Vardas140 Pavardė140 3 5 6 8 10 8
Vardas141 Pavardė141 4 5 5 6 7 9
Vardas142 Pavardė142 5 7 7 9 10 5
Vardas143 Pavardė143 2 5 8 9 10 8
Vardas144 Pavardė144 2 4 7 7 8 6
Vardas145 Pavardė145 2 2 8 9 9 7
Vardas148 Pavardė148 2 2 7 10 10 6
Vardas149 Pavardė149 3 8 8 9 10 6
Vardas150 Pavardė150 2 3 5 8 10 10
Vardas151 Pavardė151 3 4 6 7 7 7
Vardas152 Pavardė152 4 6 8 8 9 10
Vardas154 Pavardė154 5 8 9 10 10 8
Vardas159 Pavardė159 2 2 5 6 10 5
Vardas160 Pavardė160 3 4 5 5 7 6
Vardas161 Pavardė161 4 7 7 7 8 9
Vardas162 Pavardė162 3 4 5 7 8 5
Vardas163 Pavardė163 2 5 7 8 9 10
Vardas164 Pavardė164 2 5 5 7 8 7
Vardas166 Pavardė166 3 6 6 8 9 8
Vardas168 Pavardė168 5 6 8 10 10 4
Vardas17 Pavardė17 3 3 8 8 9 6
