Vardas Pavardė ND1 ND2 ND3 ND4 ND5 Egzaminas
Vardas103 Pavardė103 2 3 6 6 7 2
Vardas104 Pavardė104 6 6 8 8 9 3
Vardas106 Pavardė106 5 6 10 10 10 3
Vardas107 Pavardė107 3 3 4 4 6 2
Vardas108 Pavardė108 2 5 5 9 10 2
Vardas109 Pavardė109 3 3 3 6 9 5
Vardas11 Pavardė11 2 5 6 7 10 3
Vardas115 Pavardė115 2 3 3 8 9 2
Vardas116 Pavardė116 3 6 7 8 10 3
Vardas117 Pavardė117 2 5 5 9 10 3
Vardas125 Pavardė125 4 4 8 10 10 4
Vardas126 Pavardė126 2 3 6 7 9 2
Vardas127 Pavardė127 4 4 5 5 6 2
Vardas128 Pavardė128 5 6 6 7 8 2
Vardas13 Pavardė13 4 4 8 10 10 4
Vardas132 Pavardė132 4 4 5 6 6 3
Vardas138 Pavardė138 4 5 7 7 10 2
Vardas142 Pavardė142 2 2 2 5 9 3
Vardas144 Pavardė144 2 3 4 7 9 2
Vardas146 Pavardė146 5 5 6 7 8 2
Vardas149 Pavardė149 2 3 3 7 9 2
Vardas150 Pavardė150 4 6 9 9 10 2
Vardas152 Pavardė152 2 3 3 5 9 2
Vardas156 Pavardė156 2 6 6 9 10 3
Vardas159 Pavardė159 3 3 5 5 6 3
Vardas162 Pavardė162 2 4 4 4 9 4
Vardas163 Pavardė163 5 5 8 9 10 2
Vardas166 Pavardė166 2 2 7 7 10 3
Vardas167 Pavardė167 2 3 5 10 10 3
Vardas168 Pavardė168 3 5 7 9 10 3
Vardas172 Pavardė172 2 4 4 6 9 3
Vardas175 Pavardė175 3 4 4 7 9 4
Vardas178 Pavardė178 2 2 2 5 7 5
Vardas184 Pavardė184 4 7 7 7 9 2
Vardas197 Pavardė197 3 4 6 8 9 4
Vardas2 Pavardė2 3 4 8 9 10 3
Vardas201 Pavardė201 5 5 9 10 10 3
Vardas202 Pavardė202 5 5 7 9 9 2
Vardas204 Pavardė204 2 3 7 10 10 2
Vardas206 Pavardė206 2 2 4 8 8 3
Vardas208 Pavardė208 2 2 5 7 10 3
Vardas21 Pavardė21 3 3 5 7 10 4
Vardas210 Pavardė210 4 4 4 7 8 4
Vardas212 Pavardė212 3 4 5 6 9 3
Vardas213 Pavardė213 2 2 3 3 8 4
Vardas215 Pavardė215 2 3 6 6 9 3
Vardas217 Pavardė217 2 4 5 6 6 4
Vardas220 Pavardė220 4 7 8 10 10 2
Vardas224 Pavardė224 3 5 5 9 10 4
Vardas227 Pavardė227 3 5 5 7 9 2
Vardas228 Pavardė228 3 4 7 8 9 2
Vardas230 Pavardė230 2 2 2 8 10 4
Vardas231 Pavardė231 3 4 7 7 10 3
Vardas233 Pavardė233 7 7 8 8 10 2
Vardas234 Pavardė234 3 3 6 6 10 3
Vardas235 Pavardė235 2 3 5 9 10 4
Vardas237 Pavardė237 2 3 6 9 10 3
Vardas238 Pavardė238 2 8 8 8 10 2
Vardas239 Pavardė239 4 6 7 8 9 2
Vardas241 Pavardė241 2 6 6 6 10 3
Vardas244 Pavardė244 2 3 4 4 8 3
Vardas245 Pavardė245 4 5 6 7 10 3
Vardas249 Pavardė249 2 6 6 7 9 2
Vardas250 Pavardė250 4 4 4 6 9 2
Vardas251 Pavardė251 2 2 6 7 10 4
Vardas252 Pavardė252 5 5 6 7 9 2
Vardas253 Pavardė253 2 2 2 4 9 5
Vardas256 Pavardė256 2 4 4 5 9 4
Vardas257 Pavardė257 3 5 6 7 8 3
Vardas258 Pavardė258 3 4 6 7 10 4
Vardas26 Pavardė26 2 4 4 6 9 3
Vardas261 Pavardė261 3 6 6 6 8 3
Vardas262 Pavardė262 2 2 2 3 5 4
Vardas268 Pavardė268 5 6 6 8 9 4
Vardas27 Pavardė27 2 3 3 5 6 2
Vardas270 Pavardė270 5 6 7 8 9 4
Vardas273 Pavardė273 2 3 3 4 5 3
Vardas276 Pavardė276 2 3 3 3 6 2
Vardas277 Pavardė277 2 3 3 4 6 5
Vardas278 Pavardė278 3 5 6 7 10 3
Vardas279 Pavardė279 3 3 5 7 10 3
Vardas280 Pavardė280 2 5 5 6 6 5
Vardas282 Pavardė282 2 3 8 9 10 4
Vardas284 Pavardė284 3 5 6 7 7 3
Vardas286 Pavardė286 3 3 7 10 10 3
Vardas288 Pavardė288 4 6 6 9 9 4
Vardas295 Pavardė295 3 3 5 6 7 4
Vardas298 Pavardė298 5 6 6 8 10 3
Vardas30 Pavardė30 5 6 6 9 9 3
Vardas300 Pavardė300 2 2 3 3 8 4
Vardas301 Pavardė301 3 5 7 8 10 4
Vardas306 Pavardė306 4 6 7 7 8 3
Vardas308 Pavardė308 2 4 7 7 9 3
Vardas31 Pavardė31 5 6 8 8 8 2
Vardas310 Pavardė310 2 3 3 6 7 2
Vardas311 Pavardė311 2 5 5 6 8 2
Vardas313 Pavardė313 2 4 4 5 5 4
Vardas315 Pavardė315 2 3 5 5 8 2
Vardas316 Pavardė316 3 4 5 8 10 2
Vardas318 Pavardė318 2 3 3 6 9 2
Vardas319 Pavardė319 2 4 7 8 9 3
Vardas32 Pavardė32 2 3 6 6 7 3
Vardas320 Pavardė320 3 4 8 9 10 2
Vardas322 Pavardė322 3 5 7 7 10 2
Vardas325 Pavardė325 2 3 4 7 9 4
Vardas33 Pavardė33 3 4 5 8 10 2
Vardas330 Pavardė330 4 4 6 7 10 3
Vardas332 Pavardė332 4 6 6 8 9 2
Vardas333 Pavardė333 2 2 5 10 10 2
Vardas334 Pavardė334 3 4 8 8 10 3
Vardas340 Pavardė340 2 5 8 9 10 3
Vardas341 Pavardė341 2 3 5 6 9 4
Vardas343 Pavardė343 4 5 5 10 10 2
Vardas344 Pavardė344 2 7 7 10 10 3
Vardas348 Pavardė348 2 3 6 9 9 4
Vardas351 Pavardė351 3 3 4 4 8 2
Vardas353 Pavardė353 3 3 4 5 9 5
Vardas354 Pavardė354 2 3 5 8 9 4
Vardas358 Pavardė358 2 2 3 3 9 3
Vardas36 Pavardė36 5 5 7 7 7 3
Vardas364 Pavardė364 3 4 7 7 7 2
Vardas365 Pavardė365 5 7 8 9 10 2
Vardas367 Pavardė367 4 6 8 8 10 2
Vardas371 Pavardė371 2 3 4 4 8 3
Vardas373 Pavardė373 2 3 6 9 9 3
Vardas377 Pavardė377 4 5 5 6 7 3
Vardas380 Pavardė380 2 3 6 7 8 2
Vardas383 Pavardė383 3 5 9 9 10 4
Vardas384 Pavardė384 3 6 8 9 10 2
Vardas390 Pavardė390 2 2 6 6 7 3
Vardas394 Pavardė394 3 3 4 8 9 3
Vardas396 Pavardė396 6 6 6 8 8 2
Vardas397 Pavardė397 3 5 7 7 9 2
Vardas404 Pavardė404 2 5 6 6 8 2
Vardas405 Pavardė405 5 7 8 8 9 3
Vardas408 Pavardė408 3 4 5 6 10 3
Vardas409 Pavardė409 2 5 5 6 7 3
Vardas412 Pavardė412 3 4 5 9 10 4
Vardas413 Pavardė413 3 4 5 5 10 4
Vardas414 Pavardė414 3 3 4 5 6 2
Vardas415 Pavardė415 3 3 5 10 10 4
Vardas417 Pavardė417 2 3 7 9 10 2
Vardas421 Pavardė421 3 4 5 5 10 4
Vardas423 Pavardė423 3 3 8 8 10 4
Vardas425 Pavardė425 3 8 9 9 10 3
Vardas43 Pavardė43 2 4 4 6 9 2
Vardas430 Pavardė430 5 6 7 8 10 3
Vardas432 Pavardė432 3 5 5 7 7 4
Vardas433 Pavardė433 3 5 6 7 8 3
Vardas434 Pavardė434 2 2 3 5 7 4
Vardas439 Pavardė439 2 5 7 7 7 3
Vardas443 Pavardė443 2 3 4 5 10 5
Vardas444 Pavardė444 3 6 7 9 9 4
Vardas445 Pavardė445 3 5 5 7 10 2
Vardas448 Pavardė448 2 4 9 10 10 4
Vardas449 Pavardė449 2 2 4 6 9 4
Vardas45 Pavardė45 4 5 8 9 9 3
Vardas453 Pavardė453 2 3 3 7 9 5
Vardas456 Pavardė456 2 2 6 6 10 4
Vardas458 Pavardė458 2 2 4 6 6 5
Vardas461 Pavardė461 5 6 8 9 9 2
Vardas462 Pavardė462 3 3 4 6 10 3
Vardas463 Pavardė463 2 4 6 6 8 4
Vardas465 Pavardė465 2 3 5 6 6 5
Vardas466 Pavardė466 2 4 5 6 9 4
Vardas467 Pavardė467 2 3 6 9 10 4
Vardas469 Pavardė469 2 2 3 3 3 3
Vardas471 Pavardė471 3 4 9 9 10 4
Vardas473 Pavardė473 2 4 6 7 9 2
Vardas475 Pavardė475 4 7 8 9 10 3
Vardas480 Pavardė480 3 6 7 10 10 3
